index,section_id,lesson_id,title,duration,provider,url,video_urls
1,1027866,3906405,"Fundamentos do Desenvolvimento Assistido por IA: Context Engineering, Rules, Skills, MCPs e Dev Flow",01:39:06,,https://www.techleads.club/c/workshop-ia-5-2026-gravacao/sections/1027866/lessons/3906405,
2,1027866,3906406,"Spec-Driven, Harness e Code Review",59:48,,https://www.techleads.club/c/workshop-ia-5-2026-gravacao/sections/1027866/lessons/3906406,
3,1027866,3906407,O Novo Dev: Como Estar á Frente na Era da IA,58:33,,https://www.techleads.club/c/workshop-ia-5-2026-gravacao/sections/1027866/lessons/3906407,
4,1027866,3906408,Case Real - Empresa IA First - Giovanny Massuia,15:02,,https://www.techleads.club/c/workshop-ia-5-2026-gravacao/sections/1027866/lessons/3906408,
5,1027866,3906409,Spec-Driven com Compozy - Rodrigo Branas,01:19:47,,https://www.techleads.club/c/workshop-ia-5-2026-gravacao/sections/1027866/lessons/3906409,
6,1029071,3911155,🚀 Convite Especial Elevate (até o dia 27/05),15:27,,https://www.techleads.club/c/workshop-ia-5-2026-gravacao/sections/1029071/lessons/3911155,
7,1027957,3906705,"Arquitetura de Software na Era da IA, Refatoração e Evolução Guiado por IA",01:32:09,,https://www.techleads.club/c/workshop-ia-5-2026-gravacao/sections/1027957/lessons/3906705,
8,1027957,3906707,Fundamentos para Construir a Próxima Geração Harness,01:00:30,,https://www.techleads.club/c/workshop-ia-5-2026-gravacao/sections/1027957/lessons/3906707,
9,1027957,3906708,Case 2: Trabalhando no PayPal e Adoção de IA - William Fernandes,24:38,,https://www.techleads.club/c/workshop-ia-5-2026-gravacao/sections/1027957/lessons/3906708,
10,1027957,3906711,5 Trends de IA para Dominar,04:52,,https://www.techleads.club/c/workshop-ia-5-2026-gravacao/sections/1027957/lessons/3906711,
11,1027957,3906714,O Fluxo do Time do Cursor - Fluxos Emergentes,37:25,,https://www.techleads.club/c/workshop-ia-5-2026-gravacao/sections/1027957/lessons/3906714,
12,1027957,3906820,Como Adotar IA + Playbook Grátis,13:40,,https://www.techleads.club/c/workshop-ia-5-2026-gravacao/sections/1027957/lessons/3906820,
